abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.061,60,1979,Bitter Bitch,American Pale Ale (APA),177,12,177,18th Street Brewery,Gary, IN
0.099,92,1036,Lower De Boom,American Barleywine,368,8.4,368,21st Amendment Brewery,San Francisco, CA
0.079,45,1024,Fireside Chat,Winter Warmer,368,12,368,21st Amendment Brewery,San Francisco, CA
0.044,42,876,Bitter American,American Pale Ale (APA),368,12,368,21st Amendment Brewery,San Francisco, CA
0.049,17,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12,368,21st Amendment Brewery,San Francisco, CA
0.049,17,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12,368,21st Amendment Brewery,San Francisco, CA
0.049,17,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12,368,21st Amendment Brewery,San Francisco, CA
0.07,70,799,21st Amendment IPA (2006),American IPA,368,12,368,21st Amendment Brewery,San Francisco, CA
0.07,70,797,Brew Free! or Die IPA (2008),American IPA,368,12,368,21st Amendment Brewery,San Francisco, CA
0.07,70,796,Brew Free! or Die IPA (2009),American IPA,368,12,368,21st Amendment Brewery,San Francisco, CA
0.085,52,531,Special Edition: Allies Win The War!,English Strong Ale,368,12,368,21st Amendment Brewery,San Francisco, CA
0.097,94,432,Hop Crisis,American Double / Imperial IPA,368,12,368,21st Amendment Brewery,San Francisco, CA
0.044,42,353,Bitter American (2011),American Pale Ale (APA),368,12,368,21st Amendment Brewery,San Francisco, CA
0.079,45,321,Fireside Chat (2010),Winter Warmer,368,12,368,21st Amendment Brewery,San Francisco, CA
0.068,65,173,Back in Black,American Black Ale,368,12,368,21st Amendment Brewery,San Francisco, CA
0.083,35,11,Monk's Blood,Belgian Dark Ale,368,12,368,21st Amendment Brewery,San Francisco, CA
0.07,65,10,Brew Free! or Die IPA,American IPA,368,12,368,21st Amendment Brewery,San Francisco, CA
0.049,17,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12,368,21st Amendment Brewery,San Francisco, CA
0.07,82,2519,Bimini Twist,American IPA,67,12,67,3 Daughters Brewing,St Petersburg, FL
0.035,11,2545,Passion Fruit Prussia,Berliner Weissbier,60,12,60,4 Hands Brewing Company,Saint Louis, MO
0.045,18,2544,Send Help,American Blonde Ale,60,12,60,4 Hands Brewing Company,Saint Louis, MO
0.05,28,1870,Contact High,American Pale Wheat Ale,60,12,60,4 Hands Brewing Company,Saint Louis, MO
0.05,45,2602,Citrafest,American IPA,27,16,27,450 North Brewing Company,Columbus, IN
0.069,65,2219,Scarecrow,American IPA,27,16,27,450 North Brewing Company,Columbus, IN
0.09,50,2218,Ironman,English Strong Ale,27,16,27,450 North Brewing Company,Columbus, IN
0.046,15,2217,Honey Kolsch,Kölsch,27,16,27,450 North Brewing Company,Columbus, IN
0.052,18,2216,Copperhead Amber,Belgian Dark Ale,27,16,27,450 North Brewing Company,Columbus, IN
0.059,75,972,Rude Parrot IPA,American IPA,481,16,481,7 Seas Brewing Company,Gig Harbor, WA
0.054,30,866,British Pale Ale (2010),English Pale Ale,481,16,481,7 Seas Brewing Company,Gig Harbor, WA
0.054,30,48,British Pale Ale,English Pale Ale,481,16,481,7 Seas Brewing Company,Gig Harbor, WA
0.084,82,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16,481,7 Seas Brewing Company,Gig Harbor, WA
0.055,26,1165,Colorado Native,American Amber / Red Lager,462,12,462,AC Golden Brewing Company,Golden, CO
0.055,26,431,Colorado Native (2011),American Amber / Red Lager,462,12,462,AC Golden Brewing Company,Golden, CO
0.065,52,516,Jockamo IPA,American IPA,533,12,533,Abita Brewing Company,Abita Springs, LA
0.042,13,515,Purple Haze,Fruit / Vegetable Beer,533,12,533,Abita Brewing Company,Abita Springs, LA
0.045,17,514,Abita Amber,American Amber / Red Lager,533,12,533,Abita Brewing Company,Abita Springs, LA
0.082,68,2540,Citra Ass Down,American IPA,62,16,62,Against The Grain Brewery,Louisville, KY
0.05,20,2539,The Brown Note,American Brown Ale,62,16,62,Against The Grain Brewery,Louisville, KY
0.08,68,2686,Citra Ass Down,American Double / Imperial IPA,1,16,1,Against the Grain Brewery,Louisville, KY
0.125,80,2685,London Balling,English Barleywine,1,16,1,Against the Grain Brewery,Louisville, KY
0.077,25,2684,35 K,Milk / Sweet Stout,1,16,1,Against the Grain Brewery,Louisville, KY
0.042,42,2683,A Beer,American Pale Ale (APA),1,16,1,Against the Grain Brewery,Louisville, KY
0.05,25,2682,Rules are Rules,German Pilsener,1,16,1,Against the Grain Brewery,Louisville, KY
0.066,21,2681,Flesh Gourd'n,Pumpkin Ale,1,16,1,Against the Grain Brewery,Louisville, KY
0.04,13,2680,Sho'nuff,Belgian Pale Ale,1,16,1,Against the Grain Brewery,Louisville, KY
0.055,17,2679,Bloody Show,American Pilsner,1,16,1,Against the Grain Brewery,Louisville, KY
0.076,68,2678,Rico Sauvin,American Double / Imperial IPA,1,16,1,Against the Grain Brewery,Louisville, KY
0.051,38,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16,1,Against the Grain Brewery,Louisville, KY
0.06,65,2675,Pile of Face,American IPA,1,16,1,Against the Grain Brewery,Louisville, KY
0.05,20,2674,The Brown Note,English Brown Ale,1,16,1,Against the Grain Brewery,Louisville, KY
0.053,35,1594,Maylani's Coconut Stout,American Stout,367,16,367,Airways Brewing Company,Kent, WA
0.05,35,1162,Oatmeal PSA,American Pale Ale (APA),367,16,367,Airways Brewing Company,Kent, WA
0.052,33,1137,Pre Flight Pilsner,American Pilsner,367,16,367,Airways Brewing Company,Kent, WA
0.04,20,2403,P-Town Pilsner,American Pilsner,117,12,117,Alameda Brewing,Portland, OR
